,Game,Revenue,Initial release,Publisher(s),Genre(s),Free,Story,Microtransaction,Gacha,PVP
0,Honor of Kings / Arena of Valor,14667500000,2015-11-26,Tencent Games,MOBA,True,False,True,True,True
1,Monster Strike,10000000000,2013-08-08,Mixi,Puzzle / RPG / Strategy,True,False,True,True,False
2,PUBG Mobile,9000000000,2018-03-19,Tencent Games / Krafton / VNG Games,Battle royale,True,False,True,True,True
3,Puzzle & Dragons,8578340000,2012-02-20,GungHo Online Entertainment,RPG / Puzzle,True,False,True,False,True
4,Clash of Clans,8000000000,2012-08-02,Supercell (Tencent),Strategy,True,False,True,False,True
5,Pokémon Go,7760000000,2016-07-06,Niantic / The Pokémon Company,Augmented reality,True,False,True,False,True
6,Candy Crush Saga,7456000000,2012-11-14,King (Activision Blizzard),Puzzle,True,False,True,False,False
7,Fate/Grand Order,6300000000,2015-07-30,Aniplex (Sony Music Entertainment Japan),RPG,True,True,True,True,True
8,Fantasy Westward Journey,4700000000,2015-03-26,NetEase,MMORPG,True,True,True,False,True
9,Garena Free Fire,4330000000,2017-12-04,Garena,Battle royale,True,False,True,True,True
10,Roblox Mobile,3919000000,2012-12-11,Roblox Corporation,GCS / MMO,True,False,True,True,True
11,Genshin Impact,3567000000,2020-09-28,miHoYo,Action RPG,True,True,True,True,False
12,Lineage M,3578000000,2017-06-21,NCsoft,MMORPG,True,False,True,True,True
13,Dragon Ball Z: Dokkan Battle,3500000000,2015-01-30,Bandai Namco Entertainment,RPG / Puzzle,True,False,True,True,True
14,Coin Master,3008000000,2018-03-19,Moon Active,Casual / Casino,True,False,True,False,True
15,Clash Royale,3000000000,2016-03-02,Supercell (Tencent),Real-time strategy,True,False,True,False,True
16,Gardenscapes,3000000000,2016-07-05,Playrix,Puzzle / Decoration,True,False,True,False,False
17,Game of War: Fire Age,2800000000,2013-07-25,Machine Zone,Strategy,True,False,True,True,True
18,Lords Mobile,2576700000,2016-02-26,IGG,Strategy / MMO,True,False,True,True,True
19,Homescapes,2294000000,2017-09-15,Playrix,Puzzle / Decoration,True,False,True,True,False
20,Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,2015-10-21,Konami,Sports (baseball),True,False,True,True,True
21,Lineage 2: Revolution,2106770000,2016-12-14,Netmarble Games / NCsoft,MMORPG,True,True,True,True,True
22,Candy Crush Soda Saga,2000000000,2014-10-20,King (Activision Blizzard),Puzzle,True,False,True,True,False
23,Three Kingdoms Tactics,1936200000,2019-09-19,Alibaba Group / Koei Tecmo,Strategy (4X),True,False,True,True,True
24,Marvel Contest of Champions,1784000000,2014-12-10,Kabam (Netmarble),Fighting,True,False,True,True,True
25,Toon Blast,1600000000,2017-03-03,Peak Games,Puzzle,True,False,True,True,False
26,Disney Tsum Tsum,1500000000,2014-01-29,LINE,Puzzle,True,False,True,True,False
27,Call of Duty: Mobile,1500000000,2019-10-01,Activision / Tencent / Garena,Shooter / Battle royale,True,False,True,True,True
28,Knives Out,1485270000,2017-11-23,NetEase,Battle royale,True,False,True,False,True
29,AFK Arena,1450000000,2019-01-07,Lilith Games,RPG,True,False,True,True,True
30,Lineage 2 M,1413000000,2019-11-27,NCsoft,MMORPG,True,False,True,True,True
31,Hay Day,1400000000,2012-06-21,Supercell (Tencent),Simulation,True,False,True,False,False
32,Brawl Stars,1400000000,2018-12-12,Supercell (Tencent),MOBA,True,False,True,False,True
33,Summoners War: Sky Arena,1350000000,2014-06-12,Com2Us,TBS / MMO,True,False,True,True,True
34,Fortnite,1200000000,2018-04-02,Epic Games,Battle royale,True,False,True,True,True
35,Onmyoji,1129000000,2016-06-20,NetEase,RPG,True,True,True,True,True
36,Star Wars: Galaxy of Heroes,1071000000,2015-11-24,Electronic Arts,RPG,True,False,True,True,True
